primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_share_365d,established_total_share_365d,high_post,exposure_post
bash,2020-12,12,0,0.4267372425853595,1,173,0.5549132947976878,0.1791907514450867,0.7341040462427746,0,0.0
bash,2021-01,13,0,0.4267372425853595,1,184,0.5054347826086957,0.17391304347826086,0.6793478260869565,0,0.0
bash,2021-02,14,0,0.4267372425853595,1,177,0.5819209039548022,0.1638418079096045,0.7457627118644068,0,0.0
bash,2021-03,15,0,0.4267372425853595,1,213,0.6244131455399061,0.1643192488262911,0.7887323943661971,0,0.0
bash,2021-04,16,0,0.4267372425853595,1,210,0.6571428571428571,0.12380952380952381,0.780952380952381,0,0.0
bash,2021-05,17,0,0.4267372425853595,1,152,0.6381578947368421,0.1513157894736842,0.7894736842105263,0,0.0
bash,2021-06,18,0,0.4267372425853595,1,185,0.572972972972973,0.13513513513513514,0.7081081081081081,0,0.0
bash,2021-07,19,0,0.4267372425853595,1,156,0.6089743589743589,0.12179487179487179,0.7307692307692307,0,0.0
bash,2021-08,20,0,0.4267372425853595,1,164,0.6158536585365854,0.11585365853658537,0.7317073170731707,0,0.0
bash,2021-09,21,0,0.4267372425853595,1,135,0.6666666666666666,0.0962962962962963,0.762962962962963,0,0.0
bash,2021-10,22,0,0.4267372425853595,1,191,0.5602094240837696,0.16230366492146597,0.7225130890052356,0,0.0
bash,2021-11,23,0,0.4267372425853595,1,182,0.6153846153846154,0.12087912087912088,0.7362637362637363,0,0.0
bash,2021-12,24,0,0.4267372425853595,1,168,0.6666666666666666,0.07738095238095238,0.7440476190476191,0,0.0
bash,2022-01,25,0,0.4267372425853595,1,217,0.663594470046083,0.10138248847926268,0.7649769585253456,0,0.0
bash,2022-02,26,0,0.4267372425853595,1,162,0.6111111111111112,0.11728395061728394,0.7283950617283951,0,0.0
bash,2022-03,27,0,0.4267372425853595,1,204,0.5784313725490197,0.11764705882352941,0.696078431372549,0,0.0
bash,2022-04,28,0,0.4267372425853595,1,179,0.5418994413407822,0.11731843575418995,0.659217877094972,0,0.0
bash,2022-05,29,0,0.4267372425853595,1,169,0.6153846153846154,0.14792899408284024,0.7633136094674556,0,0.0
bash,2022-06,30,0,0.4267372425853595,1,180,0.6888888888888889,0.08888888888888889,0.7777777777777778,0,0.0
bash,2022-07,31,0,0.4267372425853595,1,176,0.6136363636363636,0.13636363636363635,0.75,0,0.0
bash,2022-08,32,0,0.4267372425853595,1,166,0.5963855421686747,0.09036144578313253,0.6867469879518072,0,0.0
bash,2022-09,33,0,0.4267372425853595,1,148,0.6621621621621622,0.11486486486486487,0.777027027027027,0,0.0
bash,2022-10,34,0,0.4267372425853595,1,135,0.6962962962962963,0.06666666666666667,0.762962962962963,0,0.0
bash,2022-11,35,0,0.4267372425853595,1,137,0.6642335766423357,0.08759124087591241,0.7518248175182481,0,0.0
bash,2022-11,35,1,0.4267372425853595,1,6,0.5,0.0,0.5,1,0.4267372425853595
bash,2022-12,36,1,0.4267372425853595,1,134,0.6044776119402985,0.11194029850746269,0.7164179104477612,1,0.4267372425853595
bash,2023-01,37,1,0.4267372425853595,1,163,0.6441717791411042,0.03680981595092025,0.6809815950920245,1,0.4267372425853595
bash,2023-02,38,1,0.4267372425853595,1,112,0.6160714285714286,0.07142857142857142,0.6875,1,0.4267372425853595
bash,2023-03,39,1,0.4267372425853595,1,110,0.7272727272727273,0.045454545454545456,0.7727272727272727,1,0.4267372425853595
bash,2023-04,40,1,0.4267372425853595,1,84,0.6309523809523809,0.09523809523809523,0.7261904761904762,1,0.4267372425853595
bash,2023-05,41,1,0.4267372425853595,1,102,0.6372549019607843,0.06862745098039216,0.7058823529411765,1,0.4267372425853595
bash,2023-06,42,1,0.4267372425853595,1,92,0.6739130434782609,0.06521739130434782,0.7391304347826086,1,0.4267372425853595
bash,2023-07,43,1,0.4267372425853595,1,83,0.6626506024096386,0.04819277108433735,0.7108433734939759,1,0.4267372425853595
bash,2023-08,44,1,0.4267372425853595,1,82,0.6585365853658537,0.036585365853658534,0.6951219512195121,1,0.4267372425853595
bash,2023-09,45,1,0.4267372425853595,1,84,0.6904761904761905,0.047619047619047616,0.7380952380952381,1,0.4267372425853595
bash,2023-10,46,1,0.4267372425853595,1,83,0.6385542168674698,0.07228915662650602,0.7108433734939759,1,0.4267372425853595
bash,2023-11,47,1,0.4267372425853595,1,71,0.6338028169014085,0.056338028169014086,0.6901408450704225,1,0.4267372425853595
bash,2023-12,48,1,0.4267372425853595,1,66,0.6666666666666666,0.045454545454545456,0.7121212121212122,1,0.4267372425853595
bash,2024-01,49,1,0.4267372425853595,1,64,0.609375,0.0625,0.671875,1,0.4267372425853595
