user_id,event_month,direct_ai_events,ask_events,answer_events,question_comment_events,answer_comment_events,distinct_questions,distinct_answers,distinct_tools,high_tag_event_share,mean_exposure_index,first_direct_ai_month,event_month_index,first_direct_ai_month_index,months_since_first_direct_ai,cumulative_direct_ai_events,repeat_direct_ai_month
828896.0,2023-05,2,2,0,0,0,1,0,1,0.0,-0.5824723369899437,2023-04,640,639,1,3,1
849108.0,2023-12,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-12,647,647,0,1,0
850848.0,2024-01,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2024-01,648,648,0,1,0
861131.0,2024-11,1,1,0,0,0,1,0,1,1.0,0.8127371844006236,2024-11,658,658,0,1,0
864373.0,2023-08,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2023-08,643,643,0,1,0
866670.0,2024-05,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2024-05,652,652,0,1,0
866963.0,2023-12,1,0,0,1,0,1,0,1,1.0,1.657307329678494,2023-12,647,647,0,1,0
869240.0,2025-11,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2025-11,670,670,0,1,0
871511.0,2024-05,1,1,0,0,0,1,0,1,1.0,0.5121987286806099,2024-05,652,652,0,1,0
874188.0,2023-02,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-02,637,637,0,1,0
893254.0,2024-08,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2024-08,655,655,0,1,0
898042.0,2023-12,1,1,0,0,0,1,0,1,0.0,-1.5867667726106391,2023-12,647,647,0,1,0
907465.0,2025-03,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2025-03,662,662,0,1,0
917748.0,2024-12,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2024-12,659,659,0,1,0
934557.0,2022-04,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2022-04,627,627,0,1,0
959484.0,2023-11,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-11,646,646,0,1,0
960412.0,2023-10,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-10,645,645,0,1,0
962535.0,2024-06,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2024-06,653,653,0,1,0
967588.0,2023-06,2,1,0,1,0,1,0,2,1.0,0.484762784788476,2023-06,641,641,0,2,0
968273.0,2023-01,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2023-01,636,636,0,1,0
976972.0,2025-09,1,0,1,0,0,1,1,0,0.0,-2.067518990036933,2025-09,668,668,0,1,0
978005.0,2024-05,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2024-05,652,652,0,1,0
978005.0,2025-03,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2024-05,662,652,10,2,1
983592.0,2025-10,1,1,0,0,0,1,0,1,1.0,1.657307329678494,2025-10,669,669,0,1,0
987358.0,2023-06,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-06,641,641,0,1,0
987358.0,2023-07,3,0,0,3,0,3,0,1,1.0,0.3704293899547944,2023-06,642,641,1,4,1
987358.0,2023-09,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-06,644,641,3,5,1
987358.0,2024-02,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-06,649,641,8,6,1
990129.0,2025-01,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2025-01,660,660,0,1,0
998070.0,2023-05,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-05,640,640,0,1,0
1001727.0,2024-05,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2024-05,652,652,0,1,0
1011794.0,2023-05,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-05,640,640,0,1,0
1048572.0,2023-12,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-12,647,647,0,1,0
1050187.0,2025-12,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2025-12,671,671,0,1,0
1056179.0,2023-09,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2023-09,644,644,0,1,0
1065145.0,2024-01,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2024-01,648,648,0,1,0
1066558.0,2023-12,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-12,647,647,0,1,0
1067003.0,2023-12,1,0,1,0,0,1,1,1,1.0,0.484762784788476,2023-12,647,647,0,1,0
1086398.0,2023-12,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2023-12,647,647,0,1,0
1089161.0,2025-08,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2025-08,667,667,0,1,0
1091386.0,2024-04,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2024-04,651,651,0,1,0
1144854.0,2025-01,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2025-01,660,660,0,1,0
1149398.0,2024-07,1,0,0,0,1,1,1,1,0.0,-0.5824723369899437,2024-07,654,654,0,1,0
1150681.0,2024-01,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2024-01,648,648,0,1,0
1161518.0,2023-10,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-10,645,645,0,1,0
1165268.0,2025-02,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2025-02,661,661,0,1,0
1169519.0,2023-12,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2023-12,647,647,0,1,0
1170274.0,2023-11,1,0,1,0,0,1,1,1,1.0,0.484762784788476,2023-11,646,646,0,1,0
1178960.0,2025-03,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2025-03,662,662,0,1,0
1204556.0,2025-03,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2025-03,662,662,0,1,0
1255289.0,2024-12,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2024-12,659,659,0,1,0
1268146.0,2023-09,1,1,0,0,0,1,0,1,0.0,-0.3486118221209918,2023-09,644,644,0,1,0
1299026.0,2025-05,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2025-05,664,664,0,1,0
