specification,outcome,break_month,coef_level,pval_level,coef_slope,pval_slope,directional_coef
durability_one_shot_365d,rate,2021-04,-0.005289712717398596,0.05128072205301602,0.0010575924866712304,0.003392078512891895,0.0010575924866712304
durability_one_shot_365d,rate,2021-05,-0.005848533664762122,0.0031446921834038435,0.0010354370350230658,0.004759805390064933,0.0010354370350230658
durability_one_shot_365d,rate,2021-06,-0.005469247582520534,0.003281049274830007,0.0010671398992195308,0.0016290612803906716,0.0010671398992195308
durability_one_shot_365d,rate,2021-07,-0.0047169295827735064,0.055766340093599036,0.0011035485502454679,0.0003583831379833209,0.0011035485502454679
durability_one_shot_365d,rate,2021-08,-0.0034964254987983694,0.12158566553555798,0.0011462555260023564,0.0002040376181716129,0.0011462555260023564
durability_one_shot_365d,rate,2021-09,-0.003441713545384656,0.05003513582026907,0.0011501142349732987,0.00023961503781913944,0.0011501142349732987
durability_one_shot_365d,rate,2021-10,-0.003209565522213819,0.07252958016411463,0.001158981548016263,0.0003763901283362528,0.001158981548016263
durability_one_shot_365d,rate,2021-11,-0.0019790160666562067,0.174058243611813,0.001184910747039194,0.0004033815359103305,0.001184910747039194
durability_one_shot_365d,rate,2021-12,-0.0012833401202611014,0.5123212842582459,0.00119282321679103,0.00048718992900025987,0.00119282321679103
durability_one_shot_365d,rate,2022-01,-0.0022780962603108105,0.16848616356194634,0.0011818483847395955,0.00032798101839885533,0.0011818483847395955
durability_one_shot_365d,rate,2022-02,7.771342858348476e-05,0.9685481648028005,0.0012058250373915254,0.00015819946477802619,0.0012058250373915254
durability_one_shot_365d,rate,2022-03,0.00021494286539907844,0.91929755398714,0.0012030665634531585,0.00013025120633782612,0.0012030665634531585
durability_one_shot_365d,rate,2022-04,0.001451227510859107,0.39466545170733924,0.0012014317978074332,0.00010130704347075813,0.0012014317978074332
durability_one_shot_365d,rate,2022-05,0.004506108994991315,0.046995397552161186,0.0011819691030912605,8.418895248512337e-05,0.0011819691030912605
durability_one_shot_365d,rate,2022-06,0.005967913366043246,0.039488955578563883,0.001145053333960379,8.19481232848465e-05,0.001145053333960379
durability_one_shot_365d,rate,2022-07,0.0067873105961156355,0.020998678328697593,0.0011032604964768189,9.649554478946817e-05,0.0011032604964768189
durability_one_shot_365d,rate,2022-08,0.00664893169360887,0.023568511130158287,0.001071041025837419,9.246539594312607e-05,0.001071041025837419
durability_one_shot_365d,rate,2022-09,0.0070349380426336944,0.029283586574998185,0.001031006116739773,0.00012342752341015166,0.001031006116739773
durability_one_shot_365d,rate,2022-10,0.009439127693659337,0.0011523180129619796,0.0009382217677851747,0.0003111635600132497,0.0009382217677851747
durability_one_shot_365d,rate,2022-11,0.01158982604714624,5.472134213187128e-06,0.0008276197404504527,0.002026786611664804,0.0008276197404504527
durability_one_shot_365d,rate,2022-12,0.015855857505004716,1.7073438334560902e-06,0.0006164402139139291,0.021072065090964417,0.0006164402139139291
role_first_positive_recent90,recent_entrant_90d_share,2020-07,0.03207510004568243,0.3688283131486516,0.02420949827609052,0.03755059414069479,0.02420949827609052
role_first_positive_recent90,recent_entrant_90d_share,2020-08,0.01854016888317485,0.6133756230303913,0.017797099028940375,0.05386441274101708,0.017797099028940375
role_first_positive_recent90,recent_entrant_90d_share,2020-09,0.02057969369314546,0.5716042452280672,0.01540896059759745,0.03501292081940164,0.01540896059759745
role_first_positive_recent90,recent_entrant_90d_share,2020-10,0.029743975769734206,0.3548776581105,0.014381331201019266,0.00835582136008957,0.014381331201019266
role_first_positive_recent90,recent_entrant_90d_share,2020-11,0.032516291436515625,0.2684068270698673,0.012808327720324714,0.002394924351490897,0.012808327720324714
role_first_positive_recent90,recent_entrant_90d_share,2020-12,0.038361728728374525,0.1375347165054039,0.011795253156800132,0.0003145978157716414,0.011795253156800132
role_first_positive_recent90,recent_entrant_90d_share,2021-01,0.03616023507858107,0.15554603217919782,0.010279112408588217,0.00017595825220506975,0.010279112408588217
role_first_positive_recent90,recent_entrant_90d_share,2021-02,0.037747600235619926,0.09515457207748652,0.009268501819273066,8.80322554120768e-06,0.009268501819273066
role_first_positive_recent90,recent_entrant_90d_share,2021-03,0.04521182183511549,0.01390557349761662,0.008754518640392641,6.0481789878065246e-09,0.008754518640392641
role_first_positive_recent90,recent_entrant_90d_share,2021-04,0.04535455480812489,0.0005810546817896989,0.007781830320711481,4.099511395553963e-13,0.007781830320711481
role_first_positive_recent90,recent_entrant_90d_share,2021-05,0.05057781264001124,7.521202872031045e-06,0.007204266626618294,8.884556603463761e-15,0.007204266626618294
role_first_positive_recent90,recent_entrant_90d_share,2021-06,0.05528583179913937,4.004583144439806e-06,0.006612054232798149,1.886445456191391e-15,0.006612054232798149
role_first_positive_recent90,recent_entrant_90d_share,2021-07,0.06105008047366584,2.9558135049249553e-06,0.006074898285996328,5.299502034661461e-17,0.006074898285996328
role_first_positive_recent90,recent_entrant_90d_share,2021-08,0.055804234694621146,9.302780781184505e-06,0.005215226771411088,5.424168989213347e-17,0.005215226771411088
role_first_positive_recent90,recent_entrant_90d_share,2021-09,0.050386289086818796,2.4685422917561646e-05,0.0044757565489996825,1.4333557871214922e-15,0.0044757565489996825
role_first_positive_recent90,recent_entrant_90d_share,2021-10,0.04419752089022135,5.959152203181032e-05,0.003862958233215597,8.432149559417394e-13,0.003862958233215597
role_first_positive_recent90,recent_entrant_90d_share,2021-11,0.04182130447148643,1.7982525629058584e-05,0.003418529422719399,6.911619215008467e-10,0.003418529422719399
role_first_positive_recent90,recent_entrant_90d_share,2021-12,0.03908049668288766,6.250602487912887e-06,0.0030475519280810178,4.565103194145609e-08,0.0030475519280810178
role_first_positive_recent90,recent_entrant_90d_share,2022-01,0.03441668086744523,8.473537012387461e-06,0.0027118645464452905,1.5015354256774021e-06,0.0027118645464452905
role_first_positive_recent90,recent_entrant_90d_share,2022-02,0.0316351303036831,0.0004684650143210963,0.002424791412610977,1.798498761815435e-05,0.002424791412610977
role_first_positive_recent90,recent_entrant_90d_share,2022-03,0.025782421964419485,0.005140488605618433,0.0021988868791646414,0.00017399938070632024,0.0021988868791646414
role_first_positive_recent90,recent_entrant_90d_share,2022-04,0.025269382875315313,0.003607769798220962,0.0020167039844275745,0.0009951819791096431,0.0020167039844275745
role_first_positive_recent90,recent_entrant_90d_share,2022-05,0.019123147063195657,0.02574060908745612,0.0019043682095649358,0.0030221775595073263,0.0019043682095649358
role_first_positive_recent90,recent_entrant_90d_share,2022-06,0.015080631321213685,0.058494093768529605,0.001831980011119255,0.0057273511162787925,0.001831980011119255
role_first_positive_recent90,recent_entrant_90d_share,2022-07,0.013899001551492375,0.09346037351996006,0.0017682537665606355,0.010280754853327672,0.0017682537665606355
role_first_positive_recent90,recent_entrant_90d_share,2022-08,0.013858755431433107,0.03669785220225714,0.0017054021968259635,0.012705077267510531,0.0017054021968259635
role_first_positive_recent90,recent_entrant_90d_share,2022-09,0.01148809503439264,0.11740287771495297,0.001691251224092136,0.016153726917708833,0.001691251224092136
role_first_positive_recent90,recent_entrant_90d_share,2022-10,0.013193827438759085,0.04634702676411332,0.001615631972986639,0.01949756237179588,0.001615631972986639
role_first_positive_recent90,recent_entrant_90d_share,2022-11,0.012337153300523828,0.09701930667017618,0.0015934339720492605,0.023895371768039384,0.0015934339720492605
role_first_positive_recent90,recent_entrant_90d_share,2022-12,0.01272433210722505,0.14117492555234168,0.0015493070180004828,0.022654204741033822,0.0015493070180004828
role_top_score_recent90,recent_entrant_90d_share,2020-07,0.02976876881417886,0.37481530066879654,0.022375737272056474,0.0458120172721442,0.022375737272056474
role_top_score_recent90,recent_entrant_90d_share,2020-08,0.019338295807468875,0.5752110998908593,0.01670822291955565,0.061377295508229776,0.01670822291955565
role_top_score_recent90,recent_entrant_90d_share,2020-09,0.020143757719504343,0.5373138065275436,0.01426251103347997,0.03992419487062982,0.01426251103347997
role_top_score_recent90,recent_entrant_90d_share,2020-10,0.02696615617040627,0.3749471611972993,0.013104776558548798,0.015512734393479052,0.013104776558548798
